sku,type,attribute_family,name,price,status,visible_individually,visibility,categories,url_key,short_description,description,images,inventories,tax_category_id,super_attributes,parent_sku,service_duration,room_type,modality
SERVICE_001,configurable,service,"Massage Therapy Service",0,1,1,4,"dich-vu-tri-lieu",massage-therapy-service,"Professional massage therapy","Complete massage therapy service with various durations and room options","massage-main.jpg",100,1,"service_duration,room_type",,,,
SERVICE_001_60_DON,virtual,service,"Massage 60min - Single Room",800000,1,0,1,"dich-vu-tri-lieu",massage-60min-single,"60-minute massage in single room","Professional 60-minute massage therapy in a private single room","massage-60min.jpg",50,1,,SERVICE_001,60,don,
SERVICE_001_60_DOI,virtual,service,"Massage 60min - Double Room",1200000,1,0,1,"dich-vu-tri-lieu",massage-60min-double,"60-minute massage in double room","Professional 60-minute massage therapy in a comfortable double room","massage-60min-double.jpg",30,1,,SERVICE_001,60,doi,
SERVICE_001_90_DON,virtual,service,"Massage 90min - Single Room",1200000,1,0,1,"dich-vu-tri-lieu",massage-90min-single,"90-minute massage in single room","Extended 90-minute massage therapy in a private single room","massage-90min.jpg",40,1,,SERVICE_001,90,don,
SERVICE_001_90_DOI,virtual,service,"Massage 90min - Double Room",1800000,1,0,1,"dich-vu-tri-lieu",massage-90min-double,"90-minute massage in double room","Extended 90-minute massage therapy in a comfortable double room","massage-90min-double.jpg",25,1,,SERVICE_001,90,doi,
COURSE_001,configurable,course,"Shoulder Treatment Course",0,1,1,4,"co-vai-gay,khoa-hoc",shoulder-treatment-course,"Comprehensive shoulder treatment course","Complete shoulder treatment course available in offline and online formats","course-shoulder.jpg",200,1,modality,,,,
COURSE_001_OFFLINE,virtual,course,"Shoulder Treatment - Offline",2500000,1,0,1,"co-vai-gay,khoa-hoc",shoulder-treatment-offline,"Offline shoulder treatment course","In-person comprehensive shoulder treatment course with hands-on practice","course-offline.jpg",50,1,,COURSE_001,,,offline
COURSE_001_ONLINE,virtual,course,"Shoulder Treatment - Online",1800000,1,0,1,"co-vai-gay,khoa-hoc",shoulder-treatment-online,"Online shoulder treatment course","Online comprehensive shoulder treatment course with video materials","course-online.jpg",100,1,,COURSE_001,,,online
THERAPY_001,configurable,service,"Multi-Modal Therapy Service",0,1,1,4,"dich-vu-tri-lieu",multi-modal-therapy,"Flexible therapy service","Therapy service with multiple duration and delivery options","therapy-main.jpg",150,1,"service_duration,modality",,,,
THERAPY_001_60_OFFLINE,virtual,service,"Therapy 60min - Offline",1500000,1,0,1,"dich-vu-tri-lieu",therapy-60min-offline,"60-minute offline therapy","60-minute in-person therapy session","therapy-60min-offline.jpg",40,1,,THERAPY_001,60,,offline
THERAPY_001_60_ONLINE,virtual,service,"Therapy 60min - Online",1000000,1,0,1,"dich-vu-tri-lieu",therapy-60min-online,"60-minute online therapy","60-minute remote therapy session","therapy-60min-online.jpg",60,1,,THERAPY_001,60,,online
THERAPY_001_90_OFFLINE,virtual,service,"Therapy 90min - Offline",2200000,1,0,1,"dich-vu-tri-lieu",therapy-90min-offline,"90-minute offline therapy","90-minute in-person therapy session","therapy-90min-offline.jpg",30,1,,THERAPY_001,90,,offline
THERAPY_001_90_ONLINE,virtual,service,"Therapy 90min - Online",1500000,1,0,1,"dich-vu-tri-lieu",therapy-90min-online,"90-minute online therapy","90-minute remote therapy session","therapy-90min-online.jpg",50,1,,THERAPY_001,90,,online
